,Year,Quarter,LGA,Sex,0 to 4,5 to 14,15 to 24,25 to 34,35 to 44,45 to 54,55 to 64,> 65,Total,Year_Quarter
226,2020,2,Jaba,Male,0,0,1,0,1,5,1,2,10,2020 Q2
227,2020,2,Jaba,Female,0,0,0,0,1,2,0,0,3,2020 Q2
228,2020,3,Jaba,Male,0,0,0,1,1,3,0,2,7,2020 Q3
229,2020,3,Jaba,Female,0,0,0,1,0,1,1,0,3,2020 Q3
230,2020,4,Jaba,Male,0,0,1,0,6,1,1,0,9,2020 Q4
231,2020,4,Jaba,Female,0,0,0,1,1,1,1,0,4,2020 Q4
232,2020,1,Jema'a,Male,0,0,4,9,9,6,7,0,35,2020 Q1
233,2020,1,Jema'a,Female,0,0,1,3,2,3,1,1,11,2020 Q1
234,2020,2,Jema'a,Male,0,0,3,6,7,6,5,1,28,2020 Q2
235,2020,2,Jema'a,Female,0,0,1,3,3,3,0,1,11,2020 Q2
236,2020,3,Jema'a,Male,0,0,5,8,10,8,5,1,37,2020 Q3
237,2020,3,Jema'a,Female,0,0,3,5,2,0,0,1,11,2020 Q3
238,2020,4,Jema'a,Male,0,0,2,12,13,5,2,3,37,2020 Q4
239,2020,4,Jema'a,Female,0,0,5,5,9,0,0,1,20,2020 Q4
240,2020,1,Kachia,Male,0,0,5,17,20,22,11,6,81,2020 Q1
241,2020,1,Kachia,Female,0,0,1,17,17,13,13,6,67,2020 Q1
242,2020,2,Kachia,Male,0,2,2,7,19,23,15,5,73,2020 Q2
243,2020,2,Kachia,Female,0,0,1,9,14,20,10,0,54,2020 Q2
244,2020,3,Kachia,Male,0,3,3,5,26,26,19,3,85,2020 Q3
245,2020,3,Kachia,Female,0,1,0,12,16,13,9,5,56,2020 Q3
246,2020,4,Kachia,Male,0,0,5,16,20,14,17,4,76,2020 Q4
247,2020,4,Kachia,Female,0,1,4,17,28,27,7,7,91,2020 Q4
248,2020,1,Kaduna North,Male,5,7,24,30,17,8,5,6,102,2020 Q1
249,2020,1,Kaduna North,Female,0,4,19,28,11,9,3,2,76,2020 Q1
250,2020,2,Kaduna North,Male,1,0,21,38,16,14,5,2,97,2020 Q2
251,2020,2,Kaduna North,Female,0,1,21,42,17,11,1,0,93,2020 Q2
252,2020,3,Kaduna North,Male,1,1,25,47,43,23,9,6,155,2020 Q3
253,2020,3,Kaduna North,Female,3,6,20,35,22,9,6,0,101,2020 Q3
254,2020,4,Kaduna North,Male,1,6,51,54,44,22,12,12,202,2020 Q4
255,2020,4,Kaduna North,Female,6,10,36,42,17,16,4,2,133,2020 Q4
256,2020,1,Kaduna South,Male,1,5,34,44,39,23,11,5,162,2020 Q1
257,2020,1,Kaduna South,Female,1,3,15,23,12,9,4,4,71,2020 Q1
258,2020,2,Kaduna South,Male,1,4,29,42,29,14,16,11,146,2020 Q2
259,2020,2,Kaduna South,Female,2,2,20,12,12,8,2,4,62,2020 Q2
260,2020,3,Kaduna South,Male,2,4,24,44,28,14,14,15,145,2020 Q3
261,2020,3,Kaduna South,Female,1,4,21,20,11,9,5,3,74,2020 Q3
262,2020,4,Kaduna South,Male,1,4,27,48,29,22,14,12,157,2020 Q4
263,2020,4,Kaduna South,Female,0,2,24,23,16,6,5,6,82,2020 Q4
264,2020,1,Kagarko,Male,0,0,2,4,2,0,1,1,10,2020 Q1
265,2020,1,Kagarko,Female,0,0,1,0,1,0,0,1,3,2020 Q1
266,2020,2,Kagarko,Male,0,0,2,2,3,1,1,1,10,2020 Q2
267,2020,2,Kagarko,Female,0,0,2,2,2,0,0,1,7,2020 Q2
268,2020,3,Kagarko,Male,0,0,3,2,0,2,0,2,9,2020 Q3
269,2020,3,Kagarko,Female,0,0,2,0,1,1,0,0,4,2020 Q3
270,2020,4,Kagarko,Male,0,0,2,2,3,3,5,1,16,2020 Q4
271,2020,4,Kagarko,Female,0,0,1,5,1,0,3,0,10,2020 Q4
272,2020,1,Kajuru,Male,0,0,0,3,2,2,0,0,7,2020 Q1
273,2020,1,Kajuru,Female,0,0,1,1,2,4,3,0,11,2020 Q1
274,2020,2,Kajuru,Male,0,0,3,4,3,3,1,0,14,2020 Q2
275,2020,2,Kajuru,Female,0,0,1,4,0,1,1,0,7,2020 Q2
276,2020,3,Kajuru,Male,0,0,0,3,4,6,2,0,15,2020 Q3
277,2020,3,Kajuru,Female,0,0,1,3,4,0,0,0,8,2020 Q3
278,2020,4,Kajuru,Male,0,0,1,4,6,0,0,3,14,2020 Q4
279,2020,4,Kajuru,Female,0,0,4,5,4,0,1,1,15,2020 Q4
280,2020,1,Kaura,Male,0,0,1,0,7,1,3,5,17,2020 Q1
281,2020,1,Kaura,Female,0,0,1,0,0,0,0,1,2,2020 Q1
282,2020,2,Kaura,Male,0,1,2,3,3,2,3,0,14,2020 Q2
283,2020,2,Kaura,Female,0,0,3,1,0,0,1,1,6,2020 Q2
284,2020,3,Kaura,Male,0,0,0,4,4,4,0,3,15,2020 Q3
285,2020,3,Kaura,Female,0,0,0,0,0,2,1,0,3,2020 Q3
286,2020,4,Kaura,Male,0,0,0,2,5,4,1,2,14,2020 Q4
287,2020,4,Kaura,Female,0,0,0,3,0,0,1,2,6,2020 Q4
288,2020,1,Kauru,Male,0,1,1,1,9,3,0,0,15,2020 Q1
289,2020,1,Kauru,Female,0,0,0,2,3,0,0,0,5,2020 Q1
290,2020,2,Kauru,Male,0,0,0,9,7,0,0,0,16,2020 Q2
291,2020,2,Kauru,Female,0,0,0,5,1,0,0,0,6,2020 Q2
292,2020,3,Kauru,Male,0,0,2,8,12,1,0,1,24,2020 Q3
293,2020,3,Kauru,Female,0,0,1,3,4,0,0,0,8,2020 Q3
294,2020,4,Kauru,Male,0,0,0,28,30,2,4,0,64,2020 Q4
295,2020,4,Kauru,Female,0,0,0,10,4,0,0,0,14,2020 Q4
296,2020,1,Kubau,Male,0,0,0,2,2,4,2,1,11,2020 Q1
297,2020,1,Kubau,Female,0,0,2,1,2,1,0,0,6,2020 Q1
298,2020,2,Kubau,Male,0,0,3,3,4,3,1,0,14,2020 Q2
299,2020,2,Kubau,Female,0,0,2,1,2,0,1,1,7,2020 Q2
300,2020,3,Kubau,Male,0,0,3,5,2,2,2,2,16,2020 Q3
301,2020,3,Kubau,Female,0,0,1,3,7,1,0,1,13,2020 Q3
302,2020,4,Kubau,Male,1,0,4,6,6,5,2,2,26,2020 Q4
303,2020,4,Kubau,Female,0,0,2,1,3,1,0,0,7,2020 Q4
304,2020,1,Kudan,Male,0,2,1,2,0,0,3,2,10,2020 Q1
305,2020,1,Kudan,Female,0,0,1,2,1,2,2,1,9,2020 Q1
306,2020,2,Kudan,Male,0,0,0,1,3,1,0,0,5,2020 Q2
307,2020,2,Kudan,Female,0,2,0,0,1,0,1,1,5,2020 Q2
308,2020,3,Kudan,Male,0,0,2,2,3,1,3,0,11,2020 Q3
309,2020,3,Kudan,Female,0,0,2,1,3,3,2,0,11,2020 Q3
310,2020,4,Kudan,Male,0,0,3,4,5,0,1,2,15,2020 Q4
311,2020,4,Kudan,Female,0,0,3,3,6,2,0,0,14,2020 Q4
312,2020,1,Lere,Male,0,1,2,7,4,2,2,2,20,2020 Q1
313,2020,1,Lere,Female,0,1,2,5,0,4,0,0,12,2020 Q1
314,2020,2,Lere,Male,0,1,5,1,5,5,2,0,19,2020 Q2
315,2020,2,Lere,Female,0,0,3,2,1,3,0,0,9,2020 Q2
316,2020,3,Lere,Male,0,1,4,3,6,2,1,1,18,2020 Q3
317,2020,3,Lere,Female,0,0,3,7,2,0,0,0,12,2020 Q3
318,2020,4,Lere,Male,1,3,2,7,3,7,1,6,30,2020 Q4
319,2020,4,Lere,Female,0,1,0,4,7,1,0,5,18,2020 Q4
320,2020,1,Markafi,Male,0,0,6,5,3,0,3,1,18,2020 Q1
321,2020,1,Markafi,Female,0,1,3,5,2,0,3,2,16,2020 Q1
322,2020,2,Markafi,Male,0,1,6,5,5,4,3,2,26,2020 Q2
323,2020,2,Markafi,Female,1,0,0,4,3,1,0,0,9,2020 Q2
324,2020,3,Markafi,Male,0,2,1,7,4,0,4,2,20,2020 Q3
325,2020,3,Markafi,Female,0,1,0,9,3,2,0,0,15,2020 Q3
326,2020,4,Markafi,Male,0,1,4,7,7,6,2,6,33,2020 Q4
327,2020,4,Markafi,Female,0,0,5,7,0,8,5,2,27,2020 Q4
328,2020,1,Sabon-Gari,Male,1,1,6,9,2,3,0,0,22,2020 Q1
329,2020,1,Sabon-Gari,Female,0,1,4,10,4,4,0,0,23,2020 Q1
330,2020,2,Sabon-Gari,Male,1,0,4,20,10,4,1,3,43,2020 Q2
331,2020,2,Sabon-Gari,Female,0,2,7,9,0,7,1,1,27,2020 Q2
