,Year,Quarter,LGA,Total number of presumptives,Presumptive DS-TB,Presumptive DR-TB,Examined for diagnosis,Total diagnosed,Rifampicin resistant,HIV positive,HIV negative,HIV unknown,Presumptives that are HCWs,Year_Quarter
290,2022,1,Birnin-Gwari,1284,1284,0,1284,126,0,1,1283,0,0,2022 Q1
291,2022,1,Kauru,6487,6241,246,6487,399,0,0,6487,0,0,2022 Q1
292,2022,1,Chikun,3563,3563,0,3563,319,0,9,3554,0,0,2022 Q1
293,2022,1,Igabi,1584,1582,2,1584,148,0,6,1578,0,0,2022 Q1
294,2022,1,Kaura,449,433,16,449,22,0,32,332,85,0,2022 Q1
295,2022,1,Kaduna North,6623,6406,217,6623,642,3,309,1039,5275,0,2022 Q1
296,2022,1,Sabon-Gari,2384,2384,0,2384,163,0,0,2384,0,0,2022 Q1
297,2022,1,Giwa,6169,6168,1,6169,523,4,11,6158,0,0,2022 Q1
298,2022,1,Zaria,4958,4958,0,4958,659,1,22,4936,0,0,2022 Q1
299,2022,2,Lere,682,662,20,680,45,0,3,42,637,0,2022 Q2
300,2022,2,Kudan,1036,985,51,1036,39,0,27,471,538,1,2022 Q2
301,2022,2,Kaura,583,558,25,583,41,0,29,490,64,0,2022 Q2
302,2022,2,Kubau,837,818,19,837,60,0,2,835,0,0,2022 Q2
303,2022,2,Kagarko,457,457,0,457,39,0,0,457,0,0,2022 Q2
304,2022,2,Markafi,1395,1373,22,1395,83,0,4,1391,0,0,2022 Q2
305,2022,2,Kajuru,3454,3454,0,3454,211,0,0,3454,0,0,2022 Q2
306,2022,2,Kaduna North,7361,7223,138,7361,717,3,115,1255,5991,0,2022 Q2
307,2022,2,Kaduna South,2973,2970,3,2973,327,4,45,2928,0,0,2022 Q2
308,2022,2,Kauru,5145,4961,184,5145,396,0,0,5145,0,0,2022 Q2
309,2022,2,Kachia,2489,2392,97,2489,383,0,13,2476,0,0,2022 Q2
310,2022,2,Sabon-Gari,2824,2824,0,2824,204,0,0,2824,0,0,2022 Q2
311,2022,2,Birnin-Gwari,1140,1120,20,1140,109,0,0,358,782,34,2022 Q2
312,2022,2,Jema'a,1656,1623,33,1656,158,0,7,1649,0,0,2022 Q2
313,2022,2,Sanga,216,209,7,216,36,0,5,211,0,0,2022 Q2
314,2022,2,Jaba,387,387,0,387,20,0,0,387,0,0,2022 Q2
315,2022,2,Ikara,774,771,3,776,40,0,0,774,0,0,2022 Q2
316,2022,2,Soba,794,789,5,794,48,0,0,48,746,0,2022 Q2
317,2022,2,Zaria,4640,4640,0,4640,628,6,12,4628,0,0,2022 Q2
318,2022,2,Igabi,1780,1775,5,1780,153,4,2,1778,0,0,2022 Q2
319,2022,2,Zango-Kataf,981,981,0,981,79,0,14,967,0,0,2022 Q2
320,2022,2,Giwa,3259,3259,0,3259,416,0,19,3240,0,0,2022 Q2
321,2022,2,Chikun,2315,2315,0,2315,243,0,308,1409,598,0,2022 Q2
322,2022,3,Zaria,5815,5815,0,5815,734,3,14,5801,0,0,2022 Q3
323,2022,3,Kubau,1875,1775,100,1875,90,0,1,1874,0,0,2022 Q3
